#sourced from https://waterdata.usgs.gov/ca/nwis/dvstat?&site_no=11266500&agency_cd=USGS&por_11266500_9536=2208775,00060,9536&referred_module=sw&format=html_table

#
#
# US Geological Survey, Water Resources Data
# retrieved: 2021-03-20 13:04:09 EDT      (vaww01)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/ca/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 11266500 MERCED R A POHONO BRIDGE NR YOSEMITE CA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		9536	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	11266500	00060	9536	1	1	1917	2020	104	1997	5730	1977	14.0	214	21	26	37	44	101	188	236	357	665
USGS	11266500	00060	9536	1	2	1917	2020	104	1997	21000	1991	17.0	358	21	26	40	45	102	202	223	323	723
USGS	11266500	00060	9536	1	3	1917	2020	104	1997	10300	1991	18.0	247	21	26	40	49	96	192	212	319	667
USGS	11266500	00060	9536	1	4	1917	2020	104	1997	6000	1977	18.0	203	21	24	41	51	100	189	207	312	624
USGS	11266500	00060	9536	1	5	1917	2020	104	1997	4700	1977	16.0	200	22	28	42	56	104	185	202	359	733
USGS	11266500	00060	9536	1	6	1917	2020	104	1997	3000	1977	16.0	177	21	28	42	58	103	179	190	341	625
USGS	11266500	00060	9536	1	7	1917	2020	104	1997	2000	1977	16.0	171	21	27	40	53	105	180	212	366	636
USGS	11266500	00060	9536	1	8	1917	2020	104	2017	4910	1977	16.0	210	21	26	41	56	114	180	242	351	597
USGS	11266500	00060	9536	1	9	1917	2020	104	2017	6990	1977	15.0	233	21	25	42	60	121	198	242	334	609
USGS	11266500	00060	9536	1	10	1917	2020	104	2017	2640	1977	15.0	193	22	25	41	59	127	204	258	396	581
USGS	11266500	00060	9536	1	11	1917	2020	104	2017	2020	1977	16.0	197	21	25	47	59	129	213	255	400	633
USGS	11266500	00060	9536	1	12	1917	2020	104	1980	2000	1977	16.0	202	21	26	45	59	132	208	260	390	561
USGS	11266500	00060	9536	1	13	1917	2020	104	1980	5500	1977	16.0	226	21	26	48	62	131	220	265	382	583
USGS	11266500	00060	9536	1	14	1917	2020	104	1980	3500	1977	16.0	204	21	25	47	59	131	234	260	380	600
USGS	11266500	00060	9536	1	15	1917	2020	104	1980	2500	1977	15.0	201	21	27	48	58	131	241	270	420	655
USGS	11266500	00060	9536	1	16	1917	2020	104	1980	1800	1977	15.0	213	22	29	49	59	133	234	291	425	766
USGS	11266500	00060	9536	1	17	1917	2020	104	1980	1500	1977	16.0	207	22	30	52	59	129	253	300	422	755
USGS	11266500	00060	9536	1	18	1917	2020	104	1980	1300	1977	16.0	206	23	29	56	62	133	272	298	450	759
USGS	11266500	00060	9536	1	19	1917	2020	104	1980	1100	1977	17.0	206	23	30	56	64	132	280	294	534	737
USGS	11266500	00060	9536	1	20	1917	2020	104	1980	1000	1977	17.0	197	23	31	59	64	136	264	282	526	698
USGS	11266500	00060	9536	1	21	1917	2020	104	1970	1520	1963	17.0	214	23	29	56	63	136	268	290	543	736
USGS	11266500	00060	9536	1	22	1917	2020	104	1970	1880	1963	17.0	218	23	28	58	64	135	253	278	546	767
USGS	11266500	00060	9536	1	23	1917	2020	104	1970	1200	1963	17.0	215	23	37	56	65	134	248	299	540	765
USGS	11266500	00060	9536	1	24	1917	2020	104	2009	1110	1963	17.0	209	23	36	57	67	138	265	290	559	699
USGS	11266500	00060	9536	1	25	1917	2020	104	1969	1340	1963	17.0	215	24	38	55	67	142	264	310	486	747
USGS	11266500	00060	9536	1	26	1917	2020	104	1969	1790	1963	17.0	218	24	40	59	71	138	263	332	505	610
USGS	11266500	00060	9536	1	27	1917	2020	104	1969	1100	1963	17.0	206	23	38	62	71	136	251	341	477	601
USGS	11266500	00060	9536	1	28	1917	2020	104	1997	957	1991	16.0	195	23	37	65	72	132	251	316	447	554
USGS	11266500	00060	9536	1	29	1917	2020	104	1997	917	1991	16.0	189	23	36	62	73	134	253	319	431	546
USGS	11266500	00060	9536	1	30	1917	2020	104	1997	873	1991	16.0	191	31	39	66	81	132	255	338	431	554
USGS	11266500	00060	9536	1	31	1917	2020	104	1963	3170	1991	16.0	216	32	49	64	76	137	269	344	447	513
